state,district,period,enrolment_count,demographic_update_count,biometric_update_count,UIS,total_updates,rolling_updates,historical_avg,RIS,BSS,period_dt,TSD,TSD_raw,TSD_norm,UIS_raw,RIS_raw,BSS_raw,AFI_raw,AFI
Maharashtra,Ratnagiri,2025-06,16,482.0,461.0,0.0022800688614646,943.0,998.0,7264.538461538462,0.0115713624731764,0.488865323435843,2025-06-01,0.18895756324195498,-0.3545400491955576,0.1889575632419549,0.0022800688614646,0.0115713624731764,0.488865323435843,0.16358470478408524,17.207547280337433
Maharashtra,Ratnagiri,2025-07,2,183.0,57.0,0.0046423459321443,240.0,666.0,7264.538461538462,0.0077219713498352,0.2375,2025-07-01,0.18026962464062898,-0.3939674221524595,0.1802696246406289,0.0046423459321443,0.0077219713498352,0.2375,0.09875212154522789,10.307028154134635
Maharashtra,Ratnagiri,2025-08,36,259.0,880.0,0.0012239888927575,1139.0,774.0,7264.538461538462,0.0089741829200787,0.7726075504828798,2025-08-01,0.19137980501415966,-0.3435474957111297,0.1913798050141596,0.0012239888927575,0.0089741829200787,0.7726075504828798,0.2340385910213988,24.70637526479007
Maharashtra,Ratnagiri,2025-09,45,164.0,1207.0,0.0011786400505499,1371.0,916.6666666666666,7264.538461538462,0.0106283389449683,0.8803792851932896,2025-09-01,0.19424694833636114,-0.3305359017907865,0.1942469483363611,0.0011786400505499,0.0106283389449683,0.8803792851932896,0.26195488771700165,27.6776734864118
Maharashtra,Ratnagiri,2025-10,47,504.0,1291.0,0.0014774842106736,1795.0,1435.0,7264.538461538462,0.0166381815120323,0.7192200557103064,2025-10-01,0.19948689992521207,-0.3067560922122283,0.199486899925212,0.0014774842106736,0.0166381815120323,0.7192200557103064,0.2243051845538292,23.67039066974289
Maharashtra,Ratnagiri,2025-11,47,511.0,1408.0,0.0015795499723023,1919.0,1695.0,7264.538461538462,0.0196527649218779,0.7337154768108389,2025-11-01,0.2010193385974232,-0.2998016195996311,0.2010193385974232,0.0015795499723023,0.0196527649218779,0.7337154768108389,0.22901979314435453,24.172194625812644
Maharashtra,Ratnagiri,2025-12,44,500.0,1526.0,0.0017813244050235,2026.0,1913.3333333333333,7264.538461538462,0.0221842420160431,0.7532082922013821,2025-12-01,0.20234168487102472,-0.2938005827484384,0.2023416848710247,0.0017813244050235,0.0221842420160431,0.7532082922013821,0.2348508678500683,24.792830739984613
Maharashtra,Ratnagiri,NaT,801,7215.0,10038.0,0.0008332750142247,17253.0,7066.0,7264.538461538462,0.0819271014383418,0.581811858807164,,0.39052268214327335,0.5601974371871885,0.3905226821432733,0.0008332750142247,0.0819271014383418,0.581811858807164,0.24428925899429854,25.797415091828057
Maharashtra,Sangli,2025-01,2296,4545.0,116750.0,0.0020437476402419,121295.0,121295.0,12895.384615384615,0.7922652056905533,0.9625293705428912,2025-01-01,0.9817855403593506,3.2434508873083887,0.9817855403593506,0.0020437476402419,0.7922652056905533,0.9625293705428912,0.6356688764223039,67.4542857693057
Maharashtra,Sangli,2025-02,95,140.0,865.0,0.0004092594440179,1005.0,61150.0,12895.384615384615,0.399414793091037,0.8606965174129353,2025-02-01,0.1886854272569678,-0.355775049518125,0.1886854272569678,0.0004092594440179,0.399414793091037,0.8606965174129353,0.352887690910592,37.356194937960616
Maharashtra,Sangli,2025-03,131,653.0,850.0,0.0004438578839702,1503.0,41267.66666666666,12895.384615384615,0.2695489213902952,0.5655355954757152,2025-03-01,0.19196885776927128,-0.3408742720924071,0.1919688577692712,0.0004438578839702,0.2695489213902952,0.5655355954757152,0.24729805813554792,26.11765955817303
Maharashtra,Sangli,2025-04,99,825.0,885.0,0.0006682164599298,1710.0,1406.0,12895.384615384615,0.0091836009662469,0.5175438596491229,2025-04-01,0.1933336571990842,-0.3346805754515966,0.1933336571990841,0.0006682164599298,0.0091836009662469,0.5175438596491229,0.17054906153163824,17.948805372138803
Maharashtra,Sangli,2025-05,12,233.0,36.0,0.0008672160109353,269.0,1160.6666666666667,12895.384615384615,0.0075811518645025,0.1338289962825278,2025-05-01,0.1838328070620775,-0.3777970820187843,0.1838328070620775,0.0008672160109353,0.0075811518645025,0.1338289962825278,0.07237926325245367,7.500007301804147
Maharashtra,Sangli,2025-06,33,529.0,207.0,0.0008628198500147,736.0,905.0,12895.384615384615,0.0059112083033097,0.28125,2025-06-01,0.18691184732160707,-0.3638238630271975,0.186911847321607,0.0008628198500147,0.0059112083033097,0.28125,0.10943151749515324,11.443700060870947
Maharashtra,Sangli,2025-07,1,5.0,8.0,0.0005029208093156,13.0,339.3333333333333,12895.384615384615,0.0022164309586627,0.6153846153846154,2025-07-01,0.18214493916820262,-0.385456919410318,0.1821449391682026,0.0005029208093156,0.0022164309586627,0.6153846153846154,0.19098012566225475,20.123405577140293
Maharashtra,Sangli,2025-08,127,723.0,1512.0,0.0006808164802062,2235.0,994.6666666666666,12895.384615384615,0.0064968860320722,0.676510067114094,2025-08-01,0.19679510502831982,-0.3189719245509904,0.1967951050283198,0.0006808164802062,0.0064968860320722,0.676510067114094,0.21031500423626737,22.181332205040214
Maharashtra,Sangli,2025-09,133,287.0,1437.0,0.0005014664402892,1724.0,1324.0,12895.384615384615,0.0086479997719138,0.8335266821345708,2025-09-01,0.19342596247453048,-0.3342616780942471,0.1934259624745304,0.0005014664402892,0.0086479997719138,0.8335266821345708,0.24937930290361401,26.339178871624387
Maharashtra,Sangli,2025-10,122,826.0,1905.0,0.0008660004604293,2731.0,2230.0,12895.384615384615,0.0145657397971056,0.6975466861955327,2025-10-01,0.2000653490727024,-0.3041309896048939,0.2000653490727023,0.0008660004604293,0.0145657397971056,0.6975466861955327,0.21830097645082885,23.031326933846227
Maharashtra,Sangli,2025-11,151,919.0,2076.0,0.0007673193193583,2995.0,2483.333333333333,12895.384615384615,0.0162204426739069,0.6931552587646077,2025-11-01,0.20180596283826086,-0.2962317822948748,0.2018059628382608,0.0007673193193583,0.0162204426739069,0.6931552587646077,0.2179353137230883,22.992407265363838
Maharashtra,Sangli,2025-12,147,558.0,2348.0,0.0007647764897285,2906.0,2877.333333333333,12895.384615384615,0.0187939410954583,0.8079834824501032,2025-12-01,0.2012191650157809,-0.2988947726380252,0.2012191650157809,0.0007647764897285,0.0187939410954583,0.8079834824501032,0.2471676218364651,26.10377644367093
Maharashtra,Sangli,NaT,1547,11271.0,17247.0,0.0007131567619742,28518.0,11473.0,12895.384615384615,0.07493844515345,0.6047759309909531,,0.37008507321079487,0.4674480213930718,0.3700850732107948,0.0007131567619742,0.07493844515345,0.6047759309909531,0.244159555706852,25.78360999613322
Maharashtra,Satara,2025-01,1107,5229.0,107961.0,0.0039556393861745,113190.0,113190.0,12806.076923076924,0.7444815475616473,0.9538033395176252,2025-01-01,0.973822378111274,3.207312675210144,0.9738223781112738,0.0039556393861745,0.7444815475616473,0.9538033395176252,0.6205223892079254,65.8421546541142
Maharashtra,Satara,2025-02,74,279.0,1317.0,0.0008343675796962,1596.0,57393.0,12806.076923076924,0.3774894377525013,0.825187969924812,2025-02-01,0.188158324833513,-0.3581671317817896,0.188158324833513,0.0008343675796962,0.3774894377525013,0.825187969924812,0.3385513271599398,35.830290102469135
Maharashtra,Satara,2025-03,82,1048.0,845.0,0.0008930854521899,1893.0,38893.0,12806.076923076924,0.2558098845243851,0.4463814051769678,2025-03-01,0.19024931739425546,-0.3486778446993605,0.1902493173942554,0.0008930854521899,0.2558098845243851,0.4463814051769678,0.2138656115398463,22.559244550715455
Maharashtra,Satara,2025-04,93,916.0,1321.0,0.0009305490905203,2237.0,1908.6666666666667,12806.076923076924,0.0125538220141296,0.5905230219043361,2025-04-01,0.19267120776764068,-0.3376868859237522,0.1926712077676406,0.0009305490905203,0.0125538220141296,0.5905230219043361,0.18958261726030065,19.974660409587976
Maharashtra,Satara,2025-05,10,385.0,112.0,0.0019227049402297,497.0,1542.3333333333333,12806.076923076924,0.0101443476177746,0.2253521126760563,2025-05-01,0.1804209483208666,-0.3932806890329334,0.1804209483208666,0.0019227049402297,0.0101443476177746,0.2253521126760563,0.09553511621969996,9.96462305983019
Maharashtra,Satara,2025-06,19,740.0,210.0,0.0019343108050601,950.0,1228.0,12806.076923076924,0.0080768914250879,0.2210526315789473,2025-06-01,0.1836102400044233,-0.3788071299476121,0.1836102400044233,0.0019343108050601,0.0080768914250879,0.2210526315789473,0.09458472199341149,9.863466924931561
Maharashtra,Satara,2025-07,8,19.0,21.0,0.000193431080506,40.0,495.6666666666667,12806.076923076924,0.0032601350567605,0.525,2025-07-01,0.17720349512134034,-0.4078820499644827,0.1772034951213403,0.000193431080506,0.0032601350567605,0.525,0.16756376211261,17.63106212161073
Maharashtra,Satara,2025-08,75,803.0,1811.0,0.0013483435851806,2614.0,1201.3333333333333,12806.076923076924,0.0079014974744888,0.6928079571537873,2025-08-01,0.19532543064777505,-0.3256415619167629,0.195325430647775,0.0013483435851806,0.0079014974744888,0.6928079571537873,0.21464695286217822,22.64240737517025
Maharashtra,Satara,2025-09,89,227.0,1579.0,0.0007850259132446,1806.0,1486.6666666666667,12806.076923076924,0.009778212745899,0.8743078626799557,2025-09-01,0.18963680442191677,-0.3514575348548195,0.1896368044219167,0.0007850259132446,0.009778212745899,0.8743078626799557,0.2591843875148204,27.382792599684425
Maharashtra,Satara,2025-10,69,1034.0,2030.0,0.0017178922628128,3064.0,2494.6666666666665,12806.076923076924,0.0164081040785445,0.662532637075718,2025-10-01,0.19849360119435455,-0.3112638542161127,0.1984936011943545,0.0017178922628128,0.0164081040785445,0.662532637075718,0.20994927320628037,22.14240526674172
